Date,Year,DOY,year_DOY,NEE
2011.510929,2011,187,2011_187,NA
2011.513661,2011,188,2011_188,NA
2011.516393,2011,189,2011_189,NA
2011.519126,2011,190,2011_190,NA
2011.521858,2011,191,2011_191,NA
2011.52459,2011,192,2011_192,NA
2011.527322,2011,193,2011_193,NA
2011.530055,2011,194,2011_194,NA
2011.532787,2011,195,2011_195,NA
2011.535519,2011,196,2011_196,NA
2011.538251,2011,197,2011_197,NA
2011.540984,2011,198,2011_198,NA
2011.543716,2011,199,2011_199,NA
2011.546448,2011,200,2011_200,NA
2011.54918,2011,201,2011_201,NA
2011.551913,2011,202,2011_202,NA
2011.554645,2011,203,2011_203,NA
2011.557377,2011,204,2011_204,NA
2011.560109,2011,205,2011_205,NA
2011.562842,2011,206,2011_206,NA
2011.565574,2011,207,2011_207,NA
2011.568306,2011,208,2011_208,NA
2011.571038,2011,209,2011_209,NA
2011.57377,2011,210,2011_210,NA
2011.576503,2011,211,2011_211,NA
2011.579235,2011,212,2011_212,NA
2011.581967,2011,213,2011_213,NA
2011.584699,2011,214,2011_214,NA
2011.587432,2011,215,2011_215,NA
2011.590164,2011,216,2011_216,NA
2011.592896,2011,217,2011_217,NA
2011.595628,2011,218,2011_218,NA
2011.598361,2011,219,2011_219,NA
2011.601093,2011,220,2011_220,NA
2011.603825,2011,221,2011_221,NA
2011.606557,2011,222,2011_222,NA
2011.60929,2011,223,2011_223,NA
2011.612022,2011,224,2011_224,NA
2011.614754,2011,225,2011_225,NA
2011.617486,2011,226,2011_226,NA
2011.620219,2011,227,2011_227,NA
2011.622951,2011,228,2011_228,NA
2011.625683,2011,229,2011_229,NA
2011.628415,2011,230,2011_230,NA
2011.631148,2011,231,2011_231,NA
2011.63388,2011,232,2011_232,NA
2011.636612,2011,233,2011_233,NA
2011.639344,2011,234,2011_234,NA
2011.642077,2011,235,2011_235,NA
2011.644809,2011,236,2011_236,NA
2011.647541,2011,237,2011_237,NA
2011.650273,2011,238,2011_238,NA
2011.653005,2011,239,2011_239,NA
2011.655738,2011,240,2011_240,NA
2011.65847,2011,241,2011_241,NA
2011.661202,2011,242,2011_242,NA
2011.663934,2011,243,2011_243,NA
2011.666667,2011,244,2011_244,NA
2012.418033,2012,153,2012_153,-0.30293788
2012.420765,2012,154,2012_154,-0.328842358
2012.423497,2012,155,2012_155,-0.130294967
2012.42623,2012,156,2012_156,-0.6996878
2012.428962,2012,157,2012_157,-1.06580433
2012.431694,2012,158,2012_158,-1.060917656
2012.434426,2012,159,2012_159,-1.130809377
2012.437158,2012,160,2012_160,-0.744430651
2012.439891,2012,161,2012_161,-0.702146598
2012.442623,2012,162,2012_162,-0.493569494
2012.445355,2012,163,2012_163,-0.779658378
2012.448087,2012,164,2012_164,-1.278951258
2012.45082,2012,165,2012_165,-1.239588429
2012.453552,2012,166,2012_166,-0.985135659
2012.456284,2012,167,2012_167,-0.850912907
2012.459016,2012,168,2012_168,-1.056733046
2012.461749,2012,169,2012_169,-0.748621157
2012.464481,2012,170,2012_170,-0.570072083
2012.467213,2012,171,2012_171,-1.088585733
2012.469945,2012,172,2012_172,-1.799309161
2012.472678,2012,173,2012_173,-1.921679783
2012.47541,2012,174,2012_174,-2.045010821
2012.478142,2012,175,2012_175,-1.382558966
2012.480874,2012,176,2012_176,-1.345705047
2012.483607,2012,177,2012_177,-2.065424985
2012.486339,2012,178,2012_178,-1.985255447
2012.489071,2012,179,2012_179,-1.079798123
2012.491803,2012,180,2012_180,-2.393843396
2012.494536,2012,181,2012_181,-2.309272588
2012.497268,2012,182,2012_182,-1.565985436
2012.5,2012,183,2012_183,-2.240050881
2012.502732,2012,184,2012_184,-2.589085142
2012.505464,2012,185,2012_185,-2.182833226
2012.508197,2012,186,2012_186,-2.888315766
2012.510929,2012,187,2012_187,-2.478158458
2012.513661,2012,188,2012_188,-2.358132505
2012.516393,2012,189,2012_189,-1.517684967
2012.519126,2012,190,2012_190,-1.829797562
2012.521858,2012,191,2012_191,-2.103553088
2012.52459,2012,192,2012_192,-2.205881114
2012.527322,2012,193,2012_193,-1.475896258
2012.530055,2012,194,2012_194,-1.065636514
2012.532787,2012,195,2012_195,-1.106691565
2012.535519,2012,196,2012_196,-2.075913377
2012.538251,2012,197,2012_197,-0.804639463
2012.540984,2012,198,2012_198,-0.438875171
2012.543716,2012,199,2012_199,-1.095635957
2012.546448,2012,200,2012_200,-2.230130883
2012.54918,2012,201,2012_201,-0.869830598
2012.551913,2012,202,2012_202,-0.378159955
2012.554645,2012,203,2012_203,-1.992561458
2012.557377,2012,204,2012_204,-1.141636053
2012.560109,2012,205,2012_205,-0.959856898
2012.562842,2012,206,2012_206,-1.954067237
2012.565574,2012,207,2012_207,-1.370924622
2012.568306,2012,208,2012_208,-1.295304394
2012.571038,2012,209,2012_209,-0.963617798
2012.57377,2012,210,2012_210,-1.009478529
2012.576503,2012,211,2012_211,-1.629109128
2012.579235,2012,212,2012_212,-1.389333529
2012.581967,2012,213,2012_213,-1.987162922
2012.584699,2012,214,2012_214,-1.004243801
2012.587432,2012,215,2012_215,-0.330658981
2012.590164,2012,216,2012_216,-1.402252627
2012.592896,2012,217,2012_217,-1.124679952
2012.595628,2012,218,2012_218,0.397554474
2012.598361,2012,219,2012_219,-1.111438979
2012.601093,2012,220,2012_220,-0.965272108
2012.603825,2012,221,2012_221,-1.481227126
2012.606557,2012,222,2012_222,-0.676309624
2012.60929,2012,223,2012_223,-0.281745149
2012.612022,2012,224,2012_224,-1.811006821
2012.614754,2012,225,2012_225,-1.201339585
2012.617486,2012,226,2012_226,-0.398181028
2012.620219,2012,227,2012_227,-0.039620398
2012.622951,2012,228,2012_228,-0.28811765
2012.625683,2012,229,2012_229,-0.288853475
2012.628415,2012,230,2012_230,-0.309115407
2012.631148,2012,231,2012_231,-0.176008831
2012.63388,2012,232,2012_232,-0.316907104
2012.636612,2012,233,2012_233,-0.10051631
2012.639344,2012,234,2012_234,-0.391413509
2012.642077,2012,235,2012_235,-0.32564495
2012.644809,2012,236,2012_236,0.038793634
2012.647541,2012,237,2012_237,0.153546184
2012.650273,2012,238,2012_238,-0.543076363
2012.653005,2012,239,2012_239,0.368328998
2012.655738,2012,240,2012_240,0.076231213
2012.65847,2012,241,2012_241,0.193249351
2012.661202,2012,242,2012_242,0.548683639
2012.663934,2012,243,2012_243,0.27593563
2012.666667,2012,244,2012_244,0.021963358
