Date,Year,Time,DOY,Year_DOY,NEE,Re,GPP,NDVI,Temp,PAR,PAR_vis,LAI,Re_mod1,Re_mod2,Re_mod3,Resid1,Resid2,Resid3,,Re params,ER1,ER2,ER3
2009.502732,2009,185,185,2009_185,-2.345015975,1.755211829,4.100227804,0.634010805,18.55,53.64420746,53.64420746,0.435825063,1.127044221,1.411214497,1.451912973,0.394594544,0.118334164,0.091990196,,,,,
2009.505464,2009,186,186,2009_186,-2.180565153,1.586095729,3.766660882,0.628829496,19.05,50.90333947,50.90333947,0.417959594,1.090073266,1.403650263,1.450999009,0.246038283,0.033286348,0.018251124,,,,,
2009.508197,2009,187,187,2009_187,-1.598558141,1.560377616,3.158935757,0.624461016,19.42,44.31180499,44.31180499,0.403467069,1.058917276,1.396492673,1.449208915,0.251462473,0.026858275,0.01235848,,,,,
2009.510929,2009,188,188,2009_188,-1.277428583,1.688822384,2.966250967,0.646925761,15.62,29.35209218,29.35209218,0.48375173,1.190179438,1.400187925,1.41197125,0.248644788,0.083309851,0.07664655,,,,,
2009.513661,2009,189,189,2009_189,-0.418457053,1.643252748,2.061709801,0.660712175,17.44,25.88362279,25.88362279,0.540742183,1.372212447,1.482644912,1.50410317,0.073462845,0.025794877,0.019362605,,,,,
2009.516393,2009,190,190,2009_190,-1.067437531,1.603535291,2.670972822,0.687291878,11.72,10.28269997,10.28269997,0.670257135,1.543223409,1.462501727,1.444907239,0.003637523,0.019890466,0.025162859,,,,,
2009.519126,2009,191,191,2009_191,-1.345011973,1.553301749,2.898313722,0.70288789,11.07,16.40281586,16.40281586,0.760252555,1.731190334,1.507950084,1.489947343,0.031644349,0.002056774,0.004013781,,,,,
2009.521858,2009,192,192,2009_192,-1.481702231,1.480762019,2.96246425,0.657945584,13.46,20.63710447,20.63710447,0.528790993,1.254069994,1.396859521,1.389658368,0.051389274,0.007039629,0.008299875,,,,,
2009.52459,2009,193,193,2009_193,-1.290796596,1.744086913,3.034883509,0.635339486,23.55,50.49335203,50.49335203,0.440528179,1.24030588,1.517281018,1.595350702,0.253795329,0.051440914,0.022122461,,,,,
2009.527322,2009,194,194,2009_194,-1.439324816,1.809647655,3.248972471,0.631482315,26.56,50.34143759,50.34143759,0.427013244,1.265395013,1.572942562,1.673445579,0.296210938,0.056029301,0.018551005,,,,,
2009.530055,2009,195,195,2009_195,-2.331387312,1.675287333,4.006674645,0.632633929,26.51,49.19542004,49.19542004,0.43100432,1.276136507,1.576889989,1.675570581,0.159321382,0.009682037,8.02E-08,,,,,
2009.532787,2009,196,196,2009_196,-2.28577563,1.620395006,3.906170636,0.652423513,19.14,53.15189547,53.15189547,0.505720583,1.320981377,1.487315243,1.5236672,0.089648521,0.017710223,0.009356268,,,,,
2009.535519,2009,197,197,2009_197,-2.434639674,1.708245216,4.14288489,0.627676678,18.27,38.87531631,38.87531631,0.414085284,1.065738551,1.386673309,1.427348128,0.412814814,0.103408492,0.078903174,,,,,
2009.538251,2009,198,198,2009_198,-1.911077524,1.812689938,3.723767462,0.667313622,19.59,37.22841721,37.22841721,0.570361903,1.501273941,1.558737058,1.588475717,0.096979923,0.064492065,0.050272017,,,,,
2009.540984,2009,199,199,2009_199,-1.883244612,1.794556372,3.677800984,0.632311314,17.74,49.30645841,49.30645841,0.429882507,1.096469257,1.391722816,1.425877645,0.487325621,0.162274874,0.135924004,,,,,
2009.543716,2009,200,200,2009_200,-1.510952425,1.981149721,3.492102146,0.628865797,21.31,48.35805437,48.35805437,0.418082179,1.133114397,1.445670977,1.512471685,0.719163911,0.286737485,0.219659101,,,,,
2009.546448,2009,201,201,2009_201,-2.558738937,1.93468256,4.493421497,0.64748277,21.82,37.65298199,37.65298199,0.485933365,1.328480884,1.527368333,1.583742647,0.367480472,0.165904879,0.123158823,,,,,
2009.54918,2009,202,202,2009_202,-2.443815353,1.838894366,4.282709719,0.675871219,12.24,29.19470147,29.19470147,0.611186355,1.419715577,1.432729424,1.417065084,0.175710857,0.16496996,0.177939943,,,,,
