"","value","scale","L1","L2","Mean","Min","Max","N","var"
"LitterRateC3",0.00129299451822248,0.00129299451822248,0.235342699535946,0.41536368352828,-0.0902570645707638,-1.97590093763762,0.371663743884965,1826,"Biomass_N"
"UptakeRate3",0.0109808602057993,0.0109808602057993,0.398845860500325,0.576608675242045,0.106482327519363,-0.438278002696134,2.21542514933676,1826,"Biomass_N"
"propN_roots3",0.0111813370636474,0.0111813370636474,0.398845870706906,0.57660869355477,0.106482340624311,-0.438278014549888,2.21542521034151,1826,"Biomass_N"
"Available_N3",2.64937158015817,2.64937158015817,0.676105008659054,0.948777582795781,0.676105008659054,0,2.52812171197547,1826,"Biomass_N"
"Biomass_N3",10.1849611575459,10.1849611575459,2.60554152594517,3.68887541405058,2.60554152594517,0.156834545350648,10.1849611411353,1826,"Biomass_N"
"netNrate3",0.0367319566769456,0.0367319566769456,8.32328452891887,8.94736465537332,8.32328452891887,0,12.3960719578121,1826,"Biomass_N"
"LitterRateN3",0.00211063068724482,0.00211063068724482,8.97694383657337,9.49543102070529,-8.97694383657337,-13.0254065559095,0,1826,"Biomass_N"
"beta4",0.0766926065650583,0.0766926065650583,0,0,0,0,0,1826,"NDVI"
"SOM_C4",20344.2164917512,20344.2164917512,0,0,0,0,0,1826,"NDVI"
"SOM_N4",875.000064298401,875.000064298401,0,0,0,0,0,1826,"NDVI"
"Biomass_C4",639.442368982487,639.442368982487,0.000819778694848068,0.00197098987693488,0.000732910565023469,-0.00133237310073753,0.0100602304264896,1826,"NDVI"
"kplant4",0.151576484745363,0.151576484745363,0.000755329642238325,0.00150067549150844,-0.000745406517651484,-0.00476815549940131,0.000772763814322064,1826,"NDVI"
"cue4",0.685843922537506,0.685843922537506,0.00186164139558919,0.0046092149678515,0.00182161228255461,-0.00214510702297143,0.0229403130585446,1826,"NDVI"
"LitterRateC4",0.00129299451822248,0.00129299451822248,0.00195768684664076,0.00482787883394864,-0.00192626368273419,-0.0231207117706869,0.00207975388727468,1826,"NDVI"
